family,species,p4_m,p4_sd,p7_m,p7_sd,p2_m,p2_sd,p3_m,p3_sd,p8_m,p8_sd,p6_m,p6_sd,p1_m,p1_sd,p5_m,p5_sd,nentropy_m,nentropy_sd,sd_tot,trophic_guild_predicted
Acanthuridae,Naso_thynnoides,0.04839293025666692,0.08942956317232853,0.029771153503022212,0.07113492260302655,0.7283940286814595,0.3015740986184285,0.001215997139096372,0.013944636621616267,0.1778412128247021,0.2380455979470951,0.0018625434270581585,0.016708769986759804,0.0020142653412853454,0.021281856582243037,0.010507868826709362,0.03695744778452089,0.8499701721968945,0.13105292151977566,0.40368660355992975,2
Acanthuridae,Naso_caeruleacauda,0.045392130969276766,0.08611786663414366,0.028319385520955188,0.07013582882168765,0.726071812327989,0.3039367054962347,0.0012890470748078752,0.015232829938056226,0.18460228628183215,0.2447326382598837,0.0018350642497404232,0.01679463683344324,0.0021852983777104454,0.02285893803714386,0.01030497519768812,0.03802129598101003,0.8529789519803134,0.12860100398698757,0.408765404047627,2
Acanthuridae,Naso_minor,0.020324844733770144,0.04848853156019479,0.020973649840352555,0.06227357660396967,0.6628449752146345,0.34088397729799824,0.001616015469023243,0.020657806053578684,0.27729772059181806,0.3113882383570909,7.99748215875856e-4,0.010659457232414257,0.003939645188657862,0.03433125674346373,0.012203400745867789,0.04752589991418678,0.8690983014058847,0.11307154700827035,0.47262180687440253,2
Acanthuridae,Naso_maculatus,0.06912413659575303,0.1294415082021093,0.026611834465136763,0.07443401993100107,0.7386649449526613,0.30660900651623796,0.0015490774086402332,0.01918867932575716,0.14830695518484538,0.22540495142346123,0.00584445710086332,0.04283286618855205,0.0028432876402346378,0.029649976017803472,0.0070553066518652865,0.03842392855822171,0.8614061182771351,0.12881458373380753,0.41433124619766437,2
Acanthuridae,Naso_reticulatus,0.04686146842688176,0.09716957027343882,0.024319665507774098,0.0707878785499833,0.7204917995676112,0.317906633315304,0.0017284168137310014,0.021793955626387793,0.19158867970696733,0.26292117216139427,0.0033563348949354217,0.030140167357712563,0.003273128668548548,0.03211675545462404,0.008380506413550615,0.042256003843319234,0.8655504246733658,0.12339151714241603,0.4345635528265794,2
Acanthuridae,Naso_elegans,0.01539785139569705,0.05377510411791101,0.008991715222046798,0.04044187465470299,0.8960894966903842,0.1994459929400149,7.802714224979469e-4,0.010255936966025987,0.06765489959012026,0.15626561162403124,0.001963434960649054,0.021794235189646752,0.004015576953638228,0.040597463270458656,0.005106753764966502,0.036526248444845845,0.937730478666577,0.09442976417387292,0.2688632483336901,2
Acanthuridae,Naso_caesius,0.0767847124339568,0.1373798967144186,0.04420081624608469,0.1087245140297141,0.17222412906476206,0.26665361278109473,0.005361592366298039,0.04392774133083177,0.6650627892984646,0.3294378879169418,0.006446463115383764,0.04575949461260621,0.012879082254352638,0.07531021980699044,0.017040415220697356,0.05800021885082085,0.8411375223066483,0.13045456079009674,0.4726382967729099,8
Acanthuridae,Naso_vlamingii,0.07996568787527973,0.1418841199606384,0.031695784625823314,0.08387780305743736,0.6511389024796546,0.34762125845839,0.0020194148538243994,0.022670848912207373,0.21616701323956075,0.2764661621060558,0.006865390424110437,0.046214474352958716,0.0037633449513338603,0.03485568746941628,0.008384461550412965,0.040567572214773834,0.8432764923290296,0.12917183380132122,0.47953212547136054,2
Acanthuridae,Naso_brevirostris,0.07996568787527973,0.1418841199606384,0.031695784625823314,0.08387780305743736,0.6511389024796546,0.34762125845839,0.0020194148538243994,0.022670848912207373,0.21616701323956075,0.2764661621060558,0.006865390424110437,0.046214474352958716,0.0037633449513338603,0.03485568746941628,0.008384461550412965,0.040567572214773834,0.8432764923290296,0.12917183380132122,0.47953212547136054,2
Acanthuridae,Naso_annulatus,0.17514648475160308,0.23777376860137953,0.03527307647160193,0.08696021464729406,0.6497034835663295,0.3531673622018021,0.0015590605322576168,0.01714769870327684,0.10909498071284125,0.19385831744305138,0.021742641094441382,0.09686966829718635,0.0030365006796806314,0.03199790694306901,0.004443772191244624,0.023854183423389942,0.841683492469436,0.1282074291001233,0.487521631576687,2
