"family","genspe","c_m","c_sd","n_m","n_sd","p_m","p_sd","diet_cat"
"Acanthuridae","Acanthurus_achilles",0.275709772904851,0.0173288890059194,0.0322825799813235,0.00385666260059567,0.00432491089585528,0.0011093579820546,2
"Acanthuridae","Acanthurus_albipectoralis",0.277486155045528,0.0170509004095636,0.0330055996485662,0.00379758506591433,0.00442652752074042,0.00109176927390115,2
"Acanthuridae","Acanthurus_auranticavus",0.275535921626407,0.0173524344137958,0.0322423551046891,0.0038615182299852,0.00432420547119941,0.00111070875704714,2
"Acanthuridae","Acanthurus_bahianus",0.277371400393781,0.0170148477768596,0.0330234556495843,0.00378912663773808,0.00443670408229488,0.00108925685941044,2
"Acanthuridae","Acanthurus_bariene",0.276270699887165,0.0172345183021788,0.0325815088626721,0.00383624476466761,0.00437840183542801,0.00110304484434589,2
"Acanthuridae","Acanthurus_blochii",0.277771899945697,0.016966169862379,0.0332596212798111,0.00377870113191452,0.00447826271950626,0.00108596471944997,2
"Acanthuridae","Acanthurus_chirurgus",0.277761531198948,0.0169475249725223,0.0332238738898056,0.00377411030725555,0.00446381173964093,0.00108484326422858,2
"Acanthuridae","Acanthurus_chronixis",0.275990626241587,0.0172827057981723,0.0324041923946567,0.00384668666719268,0.00434300524241903,0.00110637937534483,2
"Acanthuridae","Acanthurus_coeruleus",0.277928438086653,0.0169345274962178,0.0333039616778987,0.00377235215243516,0.00448872305212449,0.00108397544437581,2
"Acanthuridae","Acanthurus_dussumieri",0.277368096066069,0.0170482167678358,0.0330908116316678,0.00379665006332205,0.00446010941556077,0.00109109111565631,2
"Acanthuridae","Acanthurus_fowleri",0.2762150341135,0.0172491260426194,0.0325420234123524,0.00383928667477969,0.00436790425829476,0.00110405390786596,2
"Acanthuridae","Acanthurus_gahhm",0.277842661295859,0.0169330214798813,0.0332173964350042,0.0037726021722285,0.00446288096987089,0.0010843179805706,2
"Acanthuridae","Acanthurus_grammoptilus",0.276246068164712,0.0172344534061778,0.032536046887448,0.0038360139922652,0.0043657827697547,0.00110316267685045,2
"Acanthuridae","Acanthurus_guttatus",0.275748338029577,0.0173200452999803,0.0323035126796867,0.00385472721082373,0.00432876735412592,0.00110877134344548,2
"Acanthuridae","Acanthurus_japonicus",0.275838315454913,0.0173094126946571,0.0323261155265733,0.00385252430667439,0.00432927196044282,0.00110816473228244,2
"Acanthuridae","Acanthurus_leucocheilus",0.275535584882921,0.0173528533577274,0.0322420180548858,0.00386161702953046,0.00432414284401359,0.00111073650328863,2
"Acanthuridae","Acanthurus_leucopareius",0.276831843002413,0.0171524352636936,0.0326990492546737,0.00381915530251131,0.00437605580670691,0.00109837146576523,2
"Acanthuridae","Acanthurus_leucosternon",0.275637267405433,0.0173367143038717,0.0323073745942295,0.00385816031406252,0.00433648181772302,0.00110963117304245,2
"Acanthuridae","Acanthurus_lineatus",0.278245123090607,0.0168712442602233,0.0333958800136364,0.00375865283378134,0.00448582660980186,0.00108026306656286,2
"Acanthuridae","Acanthurus_maculiceps",0.277456596899924,0.0170580013575377,0.0330468071385711,0.00379829051986844,0.00443612204311317,0.00109195318643408,2
"Acanthuridae","Acanthurus_mata",0.275942576159277,0.017285825473009,0.0324433650383694,0.00384701575054412,0.00435666288287413,0.00110631831043112,2
"Acanthuridae","Acanthurus_monroviae",0.275527031601399,0.0173553124236538,0.0322407625693555,0.00386212500047632,0.00432403446282956,0.00111088331675801,2
"Acanthuridae","Acanthurus_nigricans",0.27582192330801,0.0173118992398164,0.0323204905694907,0.00385305257200557,0.00432869588784086,0.00110831729945616,2
