"Family","species","max_size","sst","kmax_m","kmax_sd","r_phylo_m","r_phylo_sd"
"Serranidae","Hypoplectrus_unicolor",12.69999981,28,0.520713248593429,0.0886145712861303,0.000897426531955474,0.354031441313816
"Serranidae","Luzonichthys_waitei",7,27,0.741679988275656,0.147648951102262,-0.0871094190917258,0.347235721943422
"Serranidae","Luzonichthys_waitei",7,29,0.774703143654422,0.156150895224902,-0.0871094190917258,0.347235721943422
"Serranidae","Mycteroperca_acutirostris",80,22,0.0890410524090674,0.0117825325968327,-0.215315194100284,0.360457473652166
"Serranidae","Mycteroperca_acutirostris",80,23,0.090913844229737,0.011560968678084,-0.215315194100284,0.360457473652166
"Serranidae","Mycteroperca_acutirostris",80,24,0.0928409857424511,0.011428821466509,-0.215315194100284,0.360457473652166
"Serranidae","Mycteroperca_acutirostris",80,25,0.0948242939728022,0.0114031681350526,-0.215315194100284,0.360457473652166
"Serranidae","Mycteroperca_bonaci",150,22,0.0824422174142907,0.0220170282743866,0.165253041338387,0.435306993602184
"Serranidae","Mycteroperca_bonaci",150,24,0.0859809522345013,0.0226714393473591,0.165253041338387,0.435306993602184
"Serranidae","Mycteroperca_bonaci",150,26,0.0897297114451815,0.0235903988894649,0.165253041338387,0.435306993602184
"Serranidae","Mycteroperca_bonaci",150,27,0.0916873049983705,0.0241608255038924,0.165253041338387,0.435306993602184
"Serranidae","Mycteroperca_bonaci",150,28,0.0937028857697939,0.0248112399317944,0.165253041338387,0.435306993602184
"Serranidae","Mycteroperca_fusca",80,24,0.0889790510152661,0.0121365583238594,-0.259533897178031,0.364373475433581
"Serranidae","Mycteroperca_interstitialis",84,22,0.0683759270071844,0.0233422078607476,-0.487881815558815,0.477491359500676
"Serranidae","Mycteroperca_interstitialis",84,23,0.0697884839714999,0.0235663099245384,-0.487881815558815,0.477491359500676
"Serranidae","Mycteroperca_interstitialis",84,24,0.0712416308144958,0.0238282465887709,-0.487881815558815,0.477491359500676
"Serranidae","Mycteroperca_interstitialis",84,27,0.0758583215346732,0.0248747972596246,-0.487881815558815,0.477491359500676
"Serranidae","Mycteroperca_interstitialis",84,28,0.0774877982485354,0.0253223459714081,-0.487881815558815,0.477491359500676
"Serranidae","Mycteroperca_olfax",120,23,0.0818789345813936,0.0229837503987679,-0.0375950218701584,0.439831182537538
"Serranidae","Mycteroperca_olfax",120,24,0.0836595612317386,0.0235039293430959,-0.0375950218701584,0.439831182537538
"Serranidae","Mycteroperca_olfax",120,25,0.0854928469213458,0.0240941519699032,-0.0375950218701584,0.439831182537538
"Serranidae","Mycteroperca_olfax",120,26,0.0873805763102017,0.0247583257274629,-0.0375950218701584,0.439831182537538
"Serranidae","Mycteroperca_olfax",120,27,0.0893246017063462,0.0255002478042973,-0.0375950218701584,0.439831182537538
"Serranidae","Mycteroperca_olfax",120,28,0.0913268458593842,0.0263236022584592,-0.0375950218701584,0.439831182537538
"Serranidae","Mycteroperca_tigris",101,28,0.0724797149497231,0.0232222863435137,-0.410599628782239,0.473032318634285
"Serranidae","Mycteroperca_xenarcha",150,25,0.0603913894390687,0.00728744338284633,-0.183030585295318,0.359566033036473
"Serranidae","Mycteroperca_xenarcha",150,27,0.0630264274707554,0.00745727867273632,-0.183030585295318,0.359566033036473
"Serranidae","Nemanthias_carberryi",13,26,0.546408163672759,0.116133501735688,0.102286260360421,0.382383358631833
"Serranidae","Nemanthias_carberryi",13,27,0.558365901212226,0.119049668856587,0.102286260360421,0.382383358631833
"Serranidae","Paralabrax_albomaculatus",50.79999924,23,0.161272611323237,0.0204905767537867,0.00863829301745605,0.356026099554888
"Serranidae","Paralabrax_albomaculatus",50.79999924,24,0.164720934171376,0.0204911636570078,0.00863829301745605,0.356026099554888
"Serranidae","Paralabrax_albomaculatus",50.79999924,25,0.168270287858621,0.0207024500305877,0.00863829301745605,0.356026099554888
"Serranidae","Paranthias_colonus",35.799999235,23,0.160999137093143,0.0228867507886184,-0.264187653264719,0.365420668396356
