Species,Family,species,sizemax
Lutjanus argentimaculatus,Lutjanidae,Lutjanus_argentimaculatus,150
Lutjanus argentiventris,Lutjanidae,Lutjanus_argentiventris,71
Lutjanus biguttatus,Lutjanidae,Lutjanus_biguttatus,25
Lutjanus bohar,Lutjanidae,Lutjanus_bohar,90
Lutjanus carponotatus,Lutjanidae,Lutjanus_carponotatus,40
Lutjanus decussatus,Lutjanidae,Lutjanus_decussatus,35
Lutjanus ehrenbergii,Lutjanidae,Lutjanus_ehrenbergii,35
Lutjanus erythropterus,Lutjanidae,Lutjanus_erythropterus,81.6
Lutjanus fulgens,Lutjanidae,Lutjanus_fulgens,60
Lutjanus fulviflamma,Lutjanidae,Lutjanus_fulviflamma,35
Lutjanus fulvus,Lutjanidae,Lutjanus_fulvus,40
Lutjanus gibbus,Lutjanidae,Lutjanus_gibbus,50
Lutjanus goreensis,Lutjanidae,Lutjanus_goreensis,80
Lutjanus griseus,Lutjanidae,Lutjanus_griseus,89
Lutjanus guttatus,Lutjanidae,Lutjanus_guttatus,80
Lutjanus inermis,Lutjanidae,Lutjanus_inermis,34
Lutjanus jocu,Lutjanidae,Lutjanus_jocu,128
Lutjanus johnii,Lutjanidae,Lutjanus_johnii,97
Lutjanus jordani,Lutjanidae,Lutjanus_jordani,60
Lutjanus kasmira,Lutjanidae,Lutjanus_kasmira,40
Lutjanus lemniscatus,Lutjanidae,Lutjanus_lemniscatus,65
Lutjanus lutjanus,Lutjanidae,Lutjanus_lutjanus,35
Lutjanus mahogoni,Lutjanidae,Lutjanus_mahogoni,48
Lutjanus monostigma,Lutjanidae,Lutjanus_monostigma,60
Lutjanus novemfasciatus,Lutjanidae,Lutjanus_novemfasciatus,170
Lutjanus quinquelineatus,Lutjanidae,Lutjanus_quinquelineatus,38
Lutjanus rivulatus,Lutjanidae,Lutjanus_rivulatus,80
Lutjanus rufolineatus,Lutjanidae,Lutjanus_rufolineatus,30
Lutjanus russellii,Lutjanidae,Lutjanus_russellii,50
Lutjanus sebae,Lutjanidae,Lutjanus_sebae,116
Lutjanus semicinctus,Lutjanidae,Lutjanus_semicinctus,35
Lutjanus synagris,Lutjanidae,Lutjanus_synagris,60
Lutjanus viridis,Lutjanidae,Lutjanus_viridis,30
Lutjanus vitta,Lutjanidae,Lutjanus_vitta,40
Luzonichthys waitei,Serranidae,Luzonichthys_waitei,7
Macolor macularis,Lutjanidae,Macolor_macularis,60
Macolor niger,Lutjanidae,Macolor_niger,75
Macropharyngodon bipartitus,Labridae,Macropharyngodon_bipartitus,13
Macropharyngodon choati,Labridae,Macropharyngodon_choati,7.6
Macropharyngodon geoffroy,Labridae,Macropharyngodon_geoffroy,15
Macropharyngodon kuiteri,Labridae,Macropharyngodon_kuiteri,10
Macropharyngodon meleagris,Labridae,Macropharyngodon_meleagris,15
Macropharyngodon negrosensis,Labridae,Macropharyngodon_negrosensis,12
Macropharyngodon ornatus,Labridae,Macropharyngodon_ornatus,13
Melichthys indicus,Balistidae,Melichthys_indicus,25
Melichthys niger,Balistidae,Melichthys_niger,50
Melichthys vidua,Balistidae,Melichthys_vidua,40
Microcanthus strigatus,Kyphosidae,Microcanthus_strigatus,16
Microspathodon bairdii,Pomacentridae,Microspathodon_bairdii,25
Microspathodon chrysurus,Pomacentridae,Microspathodon_chrysurus,21
Microspathodon dorsalis,Pomacentridae,Microspathodon_dorsalis,31
Microspathodon frontatus,Pomacentridae,Microspathodon_frontatus,17
Monacanthus chinensis,Monacanthidae,Monacanthus_chinensis,38
Monotaxis grandoculis,Lethrinidae,Monotaxis_grandoculis,60
Mugil cephalus,Mugilidae,Mugil_cephalus,100
Mugil curema,Mugilidae,Mugil_curema,91
Mugil galapagensis,Mugilidae,Mugil_galapagensis,40
Mulloidichthys dentatus,Mullidae,Mulloidichthys_dentatus,31
Mulloidichthys flavolineatus,Mullidae,Mulloidichthys_flavolineatus,43
Mulloidichthys martinicus,Mullidae,Mulloidichthys_martinicus,44.8
Mulloidichthys mimicus,Mullidae,Mulloidichthys_mimicus,30
Mulloidichthys vanicolensis,Mullidae,Mulloidichthys_vanicolensis,38
Mycteroperca acutirostris,Serranidae,Mycteroperca_acutirostris,80
Mycteroperca bonaci,Serranidae,Mycteroperca_bonaci,150
Mycteroperca fusca,Serranidae,Mycteroperca_fusca,80
Mycteroperca interstitialis,Serranidae,Mycteroperca_interstitialis,84
Mycteroperca olfax,Serranidae,Mycteroperca_olfax,120
Mycteroperca tigris,Serranidae,Mycteroperca_tigris,101
Mycteroperca xenarcha,Serranidae,Mycteroperca_xenarcha,150
Myripristis adusta,Holocentridae,Myripristis_adusta,35
Myripristis amaena,Holocentridae,Myripristis_amaena,26.5
Myripristis berndti,Holocentridae,Myripristis_berndti,30
Myripristis earlei,Holocentridae,Myripristis_earlei,24
Myripristis hexagona,Holocentridae,Myripristis_hexagona,30
Myripristis jacobus,Holocentridae,Myripristis_jacobus,25
Myripristis kuntee,Holocentridae,Myripristis_kuntee,26
Myripristis leiognathus,Holocentridae,Myripristis_leiognathus,18
Myripristis murdjan,Holocentridae,Myripristis_murdjan,60
Myripristis pralinia,Holocentridae,Myripristis_pralinia,20
Myripristis tiki,Holocentridae,Myripristis_tiki,26.5
Myripristis violacea,Holocentridae,Myripristis_violacea,35
Myripristis vittata,Holocentridae,Myripristis_vittata,25
Naso annulatus,Acanthuridae,Naso_annulatus,100
Naso brachycentron,Acanthuridae,Naso_brachycentron,90
Naso brevirostris,Acanthuridae,Naso_brevirostris,60
Naso caeruleacauda,Acanthuridae,Naso_caeruleacauda,40
Naso caesius,Acanthuridae,Naso_caesius,45.6
Naso elegans,Acanthuridae,Naso_elegans,45
Naso hexacanthus,Acanthuridae,Naso_hexacanthus,75
Naso lituratus,Acanthuridae,Naso_lituratus,46
Naso lopezi,Acanthuridae,Naso_lopezi,60
Naso mcdadei,Acanthuridae,Naso_mcdadei,75
Naso thynnoides,Acanthuridae,Naso_thynnoides,40
Naso tonganus,Acanthuridae,Naso_tonganus,60
Naso tuberosus,Acanthuridae,Naso_tuberosus,60
Naso unicornis,Acanthuridae,Naso_unicornis,70
Naso vlamingii,Acanthuridae,Naso_vlamingii,60
Nemanthias carberryi,Serranidae,Nemanthias_carberryi,13
Neocirrhites armatus,Cirrhitidae,Neocirrhites_armatus,9
Neoglyphidodon carlsoni,Pomacentridae,Neoglyphidodon_carlsoni,10
Neoglyphidodon melas,Pomacentridae,Neoglyphidodon_melas,18
Neoglyphidodon nigroris,Pomacentridae,Neoglyphidodon_nigroris,13
Neoglyphidodon polyacanthus,Pomacentridae,Neoglyphidodon_polyacanthus,12
Neoglyphidodon thoracotaeniatus,Pomacentridae,Neoglyphidodon_thoracotaeniatus,13.5
Neomyxus leuciscus,Mugilidae,Neomyxus_leuciscus,46
Neoniphon argenteus,Holocentridae,Neoniphon_argenteus,24
Neoniphon marianus,Holocentridae,Neoniphon_marianus,18
Neoniphon opercularis,Holocentridae,Neoniphon_opercularis,35
Neoniphon sammara,Holocentridae,Neoniphon_sammara,32
Neopomacentrus azysron,Pomacentridae,Neopomacentrus_azysron,7.5
Neopomacentrus bankieri,Pomacentridae,Neopomacentrus_bankieri,8
Neopomacentrus cyanomos,Pomacentridae,Neopomacentrus_cyanomos,10
Neopomacentrus filamentosus,Pomacentridae,Neopomacentrus_filamentosus,11
Neopomacentrus nemurus,Pomacentridae,Neopomacentrus_nemurus,8
Nexilosus latifrons,Pomacentridae,Nexilosus_latifrons,30
Nicholsina denticulata,Labridae,Nicholsina_denticulata,25.5578902459571
Notocirrhitus splendens,Cirrhitidae,Notocirrhitus_splendens,20
Notolabrus inscriptus,Labridae,Notolabrus_inscriptus,50
Notolabrus tetricus,Labridae,Notolabrus_tetricus,50
Novaculichthys taeniourus,Labridae,Novaculichthys_taeniourus,30
Ocyurus chrysurus,Lutjanidae,Ocyurus_chrysurus,86.3
Odontoscion dentex,Sciaenidae,Odontoscion_dentex,30
Odontoscion xanthops,Sciaenidae,Odontoscion_xanthops,30
Odonus niger,Balistidae,Odonus_niger,50
Orthopristis forbesi,Haemulidae,Orthopristis_forbesi,30.5
Orthopristis ruber,Haemulidae,Orthopristis_ruber,40
Ostracion cubicus,Ostraciidae,Ostracion_cubicus,36.5458910790314
Ostracion meleagris,Ostraciidae,Ostracion_meleagris,36.5458910790314
Ostracion solorensis,Ostraciidae,Ostracion_solorensis,36.5458910790314
Ostracion whitleyi,Ostraciidae,Ostracion_whitleyi,36.5458910790314
Oxycheilinus bimaculatus,Labridae,Oxycheilinus_bimaculatus,15
Oxycheilinus celebicus,Labridae,Oxycheilinus_celebicus,24
Oxycheilinus digramma,Labridae,Oxycheilinus_digramma,40
Oxycheilinus orientalis,Labridae,Oxycheilinus_orientalis,20
Oxycheilinus unifasciatus,Labridae,Oxycheilinus_unifasciatus,46
Oxycirrhites typus,Cirrhitidae,Oxycirrhites_typus,13
Oxymonacanthus longirostris,Monacanthidae,Oxymonacanthus_longirostris,12
Paracaesio sordida,Lutjanidae,Paracaesio_sordida,48
Paracaesio xanthura,Lutjanidae,Paracaesio_xanthura,50
Paracanthurus hepatus,Acanthuridae,Paracanthurus_hepatus,31
Paracentropyge multifasciata,Pomacanthidae,Paracentropyge_multifasciata,21.7017695752358
Parachaetodon ocellatus,Chaetodontidae,Parachaetodon_ocellatus,18
Paracheilinus filamentosus,Labridae,Paracheilinus_filamentosus,15
Paracheilinus octotaenia,Labridae,Paracheilinus_octotaenia,9
Paracirrhites arcatus,Cirrhitidae,Paracirrhites_arcatus,20
Paracirrhites forsteri,Cirrhitidae,Paracirrhites_forsteri,22
Paracirrhites hemistictus,Cirrhitidae,Paracirrhites_hemistictus,29
Paracirrhites nisus,Cirrhitidae,Paracirrhites_nisus,8.1
Paralabrax albomaculatus,Serranidae,Paralabrax_albomaculatus,50.8
Paraluteres prionurus,Monacanthidae,Paraluteres_prionurus,11
Paranthias colonus,Serranidae,Paranthias_colonus,35.6
Paranthias furcifer,Serranidae,Paranthias_furcifer,30
Parapriacanthus ransonneti,Pempheridae,Parapriacanthus_ransonneti,35.7396688513447
Parapristipoma humile,Haemulidae,Parapristipoma_humile,37.5
Pareques acuminatus,Sciaenidae,Pareques_acuminatus,23
Pareques viola,Sciaenidae,Pareques_viola,25
Parma alboscapularis,Pomacentridae,Parma_alboscapularis,22
Parma microlepis,Pomacentridae,Parma_microlepis,14
Parma oligolepis,Pomacentridae,Parma_oligolepis,16.5
Parma polylepis,Pomacentridae,Parma_polylepis,21
Parupeneus barberinoides,Mullidae,Parupeneus_barberinoides,30
Parupeneus barberinus,Mullidae,Parupeneus_barberinus,60
Parupeneus chrysopleuron,Mullidae,Parupeneus_chrysopleuron,55
Parupeneus ciliatus,Mullidae,Parupeneus_ciliatus,38
Parupeneus crassilabris,Mullidae,Parupeneus_crassilabris,38
Parupeneus cyclostomus,Mullidae,Parupeneus_cyclostomus,50
Parupeneus forsskali,Mullidae,Parupeneus_forsskali,28
Parupeneus heptacanthus,Mullidae,Parupeneus_heptacanthus,36
Parupeneus indicus,Mullidae,Parupeneus_indicus,45
Parupeneus insularis,Mullidae,Parupeneus_insularis,30
Parupeneus macronemus,Mullidae,Parupeneus_macronemus,40
Parupeneus multifasciatus,Mullidae,Parupeneus_multifasciatus,35
Parupeneus pleurostigma,Mullidae,Parupeneus_pleurostigma,33
Parupeneus porphyreus,Mullidae,Parupeneus_porphyreus,51
Parupeneus spilurus,Mullidae,Parupeneus_spilurus,50
Parupeneus trifasciatus,Mullidae,Parupeneus_trifasciatus,35
Pempheris adusta,Pempheridae,Pempheris_adusta,35.7396688513447
Pempheris analis,Pempheridae,Pempheris_analis,35.7396688513447
Pempheris mangula,Pempheridae,Pempheris_mangula,35.7396688513447
Pempheris molucca,Pempheridae,Pempheris_molucca,35.7396688513447
Pempheris oualensis,Pempheridae,Pempheris_oualensis,35.7396688513447
Pempheris schomburgkii,Pempheridae,Pempheris_schomburgkii,35.7396688513447
Pempheris schwenkii,Pempheridae,Pempheris_schwenkii,35.7396688513447
Pempheris vanicolensis,Pempheridae,Pempheris_vanicolensis,35.7396688513447
Pervagor alternans,Monacanthidae,Pervagor_alternans,16
Pervagor aspricaudus,Monacanthidae,Pervagor_aspricaudus,13
Pervagor janthinosoma,Monacanthidae,Pervagor_janthinosoma,13
Pervagor marginalis,Monacanthidae,Pervagor_marginalis,6.2
Pervagor melanocephalus,Monacanthidae,Pervagor_melanocephalus,16
Plectorhinchus albovittatus,Haemulidae,Plectorhinchus_albovittatus,100
Plectorhinchus chaetodonoides,Haemulidae,Plectorhinchus_chaetodonoides,72
Plectorhinchus chrysotaenia,Haemulidae,Plectorhinchus_chrysotaenia,41
Plectorhinchus flavomaculatus,Haemulidae,Plectorhinchus_flavomaculatus,60
Plectorhinchus gibbosus,Haemulidae,Plectorhinchus_gibbosus,75
Plectorhinchus lessonii,Haemulidae,Plectorhinchus_lessonii,40
Plectorhinchus lineatus,Haemulidae,Plectorhinchus_lineatus,72
Plectorhinchus multivittatus,Haemulidae,Plectorhinchus_multivittatus,50
Plectorhinchus picus,Haemulidae,Plectorhinchus_picus,84
Plectorhinchus polytaenia,Haemulidae,Plectorhinchus_polytaenia,50
Plectorhinchus schotaf,Haemulidae,Plectorhinchus_schotaf,80
Plectorhinchus vittatus,Haemulidae,Plectorhinchus_vittatus,72
Plectroglyphidodon dickii,Pomacentridae,Plectroglyphidodon_dickii,11
Plectroglyphidodon flaviventris,Pomacentridae,Plectroglyphidodon_flaviventris,7
Plectroglyphidodon johnstonianus,Pomacentridae,Plectroglyphidodon_johnstonianus,14
Plectroglyphidodon lacrymatus,Pomacentridae,Plectroglyphidodon_lacrymatus,10
Plectropomus areolatus,Serranidae,Plectropomus_areolatus,80
Plectropomus laevis,Serranidae,Plectropomus_laevis,125
Plectropomus leopardus,Serranidae,Plectropomus_leopardus,120
Plectropomus maculatus,Serranidae,Plectropomus_maculatus,125
Plectropomus oligacanthus,Serranidae,Plectropomus_oligacanthus,75
Plectropomus pessuliferus,Serranidae,Plectropomus_pessuliferus,120
Pomacanthus arcuatus,Pomacanthidae,Pomacanthus_arcuatus,60
Pomacanthus imperator,Pomacanthidae,Pomacanthus_imperator,40
Pomacanthus navarchus,Pomacanthidae,Pomacanthus_navarchus,28
Pomacanthus paru,Pomacanthidae,Pomacanthus_paru,41.1
Pomacanthus rhomboides,Pomacanthidae,Pomacanthus_rhomboides,46
Pomacanthus semicirculatus,Pomacanthidae,Pomacanthus_semicirculatus,40
Pomacanthus sexstriatus,Pomacanthidae,Pomacanthus_sexstriatus,46
Pomacanthus xanthometopon,Pomacanthidae,Pomacanthus_xanthometopon,38
Pomacanthus zonipectus,Pomacanthidae,Pomacanthus_zonipectus,46
Pomacentrus adelus,Pomacentridae,Pomacentrus_adelus,8.5
Pomacentrus alexanderae,Pomacentridae,Pomacentrus_alexanderae,9
Pomacentrus amboinensis,Pomacentridae,Pomacentrus_amboinensis,9
Pomacentrus australis,Pomacentridae,Pomacentrus_australis,8
Pomacentrus bankanensis,Pomacentridae,Pomacentrus_bankanensis,9
Pomacentrus brachialis,Pomacentridae,Pomacentrus_brachialis,8
Pomacentrus burroughi,Pomacentridae,Pomacentrus_burroughi,8.5
Pomacentrus caeruleus,Pomacentridae,Pomacentrus_caeruleus,10
Pomacentrus callainus,Pomacentridae,Pomacentrus_callainus,14.4714284873294
Pomacentrus chrysurus,Pomacentridae,Pomacentrus_chrysurus,9
Pomacentrus coelestis,Pomacentridae,Pomacentrus_coelestis,9
Pomacentrus grammorhynchus,Pomacentridae,Pomacentrus_grammorhynchus,9
Pomacentrus imitator,Pomacentridae,Pomacentrus_imitator,11
Pomacentrus lepidogenys,Pomacentridae,Pomacentrus_lepidogenys,9
Pomacentrus milleri,Pomacentridae,Pomacentrus_milleri,7.5
Pomacentrus moluccensis,Pomacentridae,Pomacentrus_moluccensis,9
Pomacentrus nagasakiensis,Pomacentridae,Pomacentrus_nagasakiensis,11
Pomacentrus nigromanus,Pomacentridae,Pomacentrus_nigromanus,9
Pomacentrus nigromarginatus,Pomacentridae,Pomacentrus_nigromarginatus,8
Pomacentrus opisthostigma,Pomacentridae,Pomacentrus_opisthostigma,6.5
Pomacentrus pavo,Pomacentridae,Pomacentrus_pavo,8.5
Pomacentrus philippinus,Pomacentridae,Pomacentrus_philippinus,10
Pomacentrus reidi,Pomacentridae,Pomacentrus_reidi,9
Pomacentrus simsiang,Pomacentridae,Pomacentrus_simsiang,7
Pomacentrus smithi,Pomacentridae,Pomacentrus_smithi,7
Pomacentrus spilotoceps,Pomacentridae,Pomacentrus_spilotoceps,10.1388236793621
Pomacentrus sulfureus,Pomacentridae,Pomacentrus_sulfureus,11
Pomacentrus trichrourus,Pomacentridae,Pomacentrus_trichrourus,8.85432029378721
Pomacentrus tripunctatus,Pomacentridae,Pomacentrus_tripunctatus,7.5
Pomacentrus vaiuli,Pomacentridae,Pomacentrus_vaiuli,10
Pomacentrus wardi,Pomacentridae,Pomacentrus_wardi,8
Pomadasys incisus,Haemulidae,Pomadasys_incisus,53.5
Premnas biaculeatus,Pomacentridae,Premnas_biaculeatus,17
Prionurus biafraensis,Acanthuridae,Prionurus_biafraensis,20
Prionurus laticlavius,Acanthuridae,Prionurus_laticlavius,60
Prionurus maculatus,Acanthuridae,Prionurus_maculatus,45
Prionurus microlepidotus,Acanthuridae,Prionurus_microlepidotus,70
Prognathodes aculeatus,Chaetodontidae,Prognathodes_aculeatus,10
Prognathodes marcellae,Chaetodontidae,Prognathodes_marcellae,11.6
Pseudanthias cooperi,Serranidae,Pseudanthias_cooperi,14
Pseudanthias dispar,Serranidae,Pseudanthias_dispar,9.5
Pseudanthias evansi,Serranidae,Pseudanthias_evansi,12
Pseudanthias hiva,Serranidae,Pseudanthias_hiva,10.04
Pseudanthias huchtii,Serranidae,Pseudanthias_huchtii,12
Pseudanthias hypselosoma,Serranidae,Pseudanthias_hypselosoma,19
Pseudanthias ignitus,Serranidae,Pseudanthias_ignitus,9
Pseudanthias mooreanus,Serranidae,Pseudanthias_mooreanus,7.2
Pseudanthias olivaceus,Serranidae,Pseudanthias_olivaceus,12
Pseudanthias pascalus,Serranidae,Pseudanthias_pascalus,20
Pseudanthias pictilis,Serranidae,Pseudanthias_pictilis,13.5
Pseudanthias pleurotaenia,Serranidae,Pseudanthias_pleurotaenia,20
Pseudanthias regalis,Serranidae,Pseudanthias_regalis,8
Pseudanthias squamipinnis,Serranidae,Pseudanthias_squamipinnis,15
Pseudanthias taeniatus,Serranidae,Pseudanthias_taeniatus,13
Pseudanthias tuka,Serranidae,Pseudanthias_tuka,12
Pseudobalistes flavimarginatus,Balistidae,Pseudobalistes_flavimarginatus,60
Pseudobalistes fuscus,Balistidae,Pseudobalistes_fuscus,55
Pseudobalistes naufragium,Balistidae,Pseudobalistes_naufragium,100
Pseudocheilinus evanidus,Labridae,Pseudocheilinus_evanidus,9
Pseudocheilinus hexataenia,Labridae,Pseudocheilinus_hexataenia,10
Pseudocheilinus octotaenia,Labridae,Pseudocheilinus_octotaenia,14
Pseudocheilinus tetrataenia,Labridae,Pseudocheilinus_tetrataenia,7.5
Pseudocoris heteroptera,Labridae,Pseudocoris_heteroptera,20
Pseudocoris yamashiroi,Labridae,Pseudocoris_yamashiroi,16
Pseudodax moluccanus,Labridae,Pseudodax_moluccanus,30
Pseudojuloides atavai,Labridae,Pseudojuloides_atavai,13
Pseudojuloides cerasinus,Labridae,Pseudojuloides_cerasinus,16.4332374425935
Pseudojuloides elongatus,Labridae,Pseudojuloides_elongatus,14
Pseudolabrus fuentesi,Labridae,Pseudolabrus_fuentesi,16.5
Pseudolabrus guentheri,Labridae,Pseudolabrus_guentheri,18
Pseudolabrus luculentus,Labridae,Pseudolabrus_luculentus,17
Pseudolabrus semifasciatus,Labridae,Pseudolabrus_semifasciatus,25
Pseudupeneus grandisquamis,Mullidae,Pseudupeneus_grandisquamis,30
Pseudupeneus maculatus,Mullidae,Pseudupeneus_maculatus,30
Pteragogus cryptus,Labridae,Pteragogus_cryptus,9.5
Pteragogus enneacanthus,Labridae,Pteragogus_enneacanthus,15
Pteragogus flagellifer,Labridae,Pteragogus_flagellifer,20
Pterois antennata,Scorpaenidae,Pterois_antennata,20
Pterois miles,Scorpaenidae,Pterois_miles,35
Pterois radiata,Scorpaenidae,Pterois_radiata,24
Pterois volitans,Scorpaenidae,Pterois_volitans,38
Pygoplites diacanthus,Pomacanthidae,Pygoplites_diacanthus,25
Rhinecanthus aculeatus,Balistidae,Rhinecanthus_aculeatus,30
Rhinecanthus rectangulus,Balistidae,Rhinecanthus_rectangulus,30
Rhinecanthus verrucosus,Balistidae,Rhinecanthus_verrucosus,23
Rypticus bicolor,Serranidae,Rypticus_bicolor,28
Rypticus nigripinnis,Serranidae,Rypticus_nigripinnis,20.3
Rypticus saponaceus,Serranidae,Rypticus_saponaceus,35
Sargocentron bullisi,Holocentridae,Sargocentron_bullisi,13
Sargocentron caudimaculatum,Holocentridae,Sargocentron_caudimaculatum,25
Sargocentron cornutum,Holocentridae,Sargocentron_cornutum,27
Sargocentron diadema,Holocentridae,Sargocentron_diadema,17
Sargocentron hastatum,Holocentridae,Sargocentron_hastatum,27.9
Sargocentron hormion,Holocentridae,Sargocentron_hormion,16.6
Sargocentron ittodai,Holocentridae,Sargocentron_ittodai,20
Sargocentron melanospilos,Holocentridae,Sargocentron_melanospilos,25
Sargocentron microstoma,Holocentridae,Sargocentron_microstoma,20
Sargocentron punctatissimum,Holocentridae,Sargocentron_punctatissimum,23
Sargocentron rubrum,Holocentridae,Sargocentron_rubrum,32
Sargocentron spiniferum,Holocentridae,Sargocentron_spiniferum,51
Sargocentron suborbitale,Holocentridae,Sargocentron_suborbitale,21.6494022240776
Sargocentron tiere,Holocentridae,Sargocentron_tiere,33
Sargocentron tiereoides,Holocentridae,Sargocentron_tiereoides,19.5
Sargocentron vexillarium,Holocentridae,Sargocentron_vexillarium,18
Sargocentron violaceum,Holocentridae,Sargocentron_violaceum,45
Sargocentron wilhelmi,Holocentridae,Sargocentron_wilhelmi,19.5
Scarus altipinnis,Labridae,Scarus_altipinnis,17.1526244869965
Scarus chameleon,Labridae,Scarus_chameleon,16.4155722550321
Scarus coelestinus,Labridae,Scarus_coelestinus,17.1526244869965
Scarus coeruleus,Labridae,Scarus_coeruleus,42.3334862964854
Scarus compressus,Labridae,Scarus_compressus,17.1526244869965
Scarus dimidiatus,Labridae,Scarus_dimidiatus,17.1526244869965
Scarus dubius,Labridae,Scarus_dubius,17.7878101670535
Scarus ferrugineus,Labridae,Scarus_ferrugineus,17.1526244869965
Scarus festivus,Labridae,Scarus_festivus,16.4155722550321
Scarus flavipectoralis,Labridae,Scarus_flavipectoralis,17.7032049094383
Scarus forsteni,Labridae,Scarus_forsteni,17.1526244869965
Scarus frenatus,Labridae,Scarus_frenatus,17.1526244869965
Scarus ghobban,Labridae,Scarus_ghobban,17.1526244869965
Scarus globiceps,Labridae,Scarus_globiceps,15.6141002276944
Scarus guacamaia,Labridae,Scarus_guacamaia,17.1526244869965
Scarus hoefleri,Labridae,Scarus_hoefleri,26.6423406016673
Scarus hypselopterus,Labridae,Scarus_hypselopterus,17.7032049094383
Scarus iseri,Labridae,Scarus_iseri,17.1526244869965
Scarus koputea,Labridae,Scarus_koputea,17.1526244869965
Scarus longipinnis,Labridae,Scarus_longipinnis,17.7878101670535
Scarus niger,Labridae,Scarus_niger,17.1526244869965
Scarus oviceps,Labridae,Scarus_oviceps,15.6141002276944
Scarus perrico,Labridae,Scarus_perrico,38.0329212736773
Scarus prasiognathos,Labridae,Scarus_prasiognathos,17.1526244869965
Scarus psittacus,Labridae,Scarus_psittacus,17.7032049094383
Scarus quoyi,Labridae,Scarus_quoyi,16.0394000627508
Scarus rivulatus,Labridae,Scarus_rivulatus,15.5488572559055
Scarus rubroviolaceus,Labridae,Scarus_rubroviolaceus,17.1526244869965
Scarus russelii,Labridae,Scarus_russelii,17.7032049094383
Scarus schlegeli,Labridae,Scarus_schlegeli,17.7032049094383
Scarus spinus,Labridae,Scarus_spinus,16.9578814717485
Scarus taeniopterus,Labridae,Scarus_taeniopterus,17.1526244869965
Scarus tricolor,Labridae,Scarus_tricolor,17.1526244869965
Scarus trispinosus,Labridae,Scarus_trispinosus,17.1526244869965
Scarus vetula,Labridae,Scarus_vetula,14.9125820814632
Scarus xanthopleura,Labridae,Scarus_xanthopleura,17.1526244869965
Scarus zelindae,Labridae,Scarus_zelindae,17.1526244869965
Scorpaena cardinalis,Scorpaenidae,Scorpaena_cardinalis,18
Scorpaena histrio,Scorpaenidae,Scorpaena_histrio,26
Scorpaena mystes,Scorpaenidae,Scorpaena_mystes,45.7
Scorpaena plumieri,Scorpaenidae,Scorpaena_plumieri,45
Scorpaenopsis diabolus,Scorpaenidae,Scorpaenopsis_diabolus,30
Scorpaenopsis oxycephala,Scorpaenidae,Scorpaenopsis_oxycephala,36
Scorpaenopsis papuensis,Scorpaenidae,Scorpaenopsis_papuensis,25
Scorpaenopsis possi,Scorpaenidae,Scorpaenopsis_possi,19.4
Scorpis violacea,Kyphosidae,Scorpis_violacea,40
Sebastapistes tinkhami,Scorpaenidae,Sebastapistes_tinkhami,10
Semicossyphus darwini,Labridae,Semicossyphus_darwini,70
Serranocirrhitus latus,Serranidae,Serranocirrhitus_latus,13
Serranus baldwini,Serranidae,Serranus_baldwini,12
Serranus flaviventris,Serranidae,Serranus_flaviventris,8
Serranus psittacinus,Serranidae,Serranus_psittacinus,18
Serranus tico,Serranidae,Serranus_tico,8.5
Serranus tigrinus,Serranidae,Serranus_tigrinus,29
Siganus argenteus,Siganidae,Siganus_argenteus,40
Siganus canaliculatus,Siganidae,Siganus_canaliculatus,40
Siganus corallinus,Siganidae,Siganus_corallinus,35
Siganus doliatus,Siganidae,Siganus_doliatus,25
Siganus fuscescens,Siganidae,Siganus_fuscescens,40
Siganus guttatus,Siganidae,Siganus_guttatus,42
Siganus javus,Siganidae,Siganus_javus,53
Siganus lineatus,Siganidae,Siganus_lineatus,43
Siganus luridus,Siganidae,Siganus_luridus,30
Siganus puellus,Siganidae,Siganus_puellus,38
Siganus punctatissimus,Siganidae,Siganus_punctatissimus,35
Siganus punctatus,Siganidae,Siganus_punctatus,40
Siganus spinus,Siganidae,Siganus_spinus,28
Siganus stellatus,Siganidae,Siganus_stellatus,40
Siganus sutor,Siganidae,Siganus_sutor,45
Siganus trispilos,Siganidae,Siganus_trispilos,25
Siganus virgatus,Siganidae,Siganus_virgatus,30
Siganus vulpinus,Siganidae,Siganus_vulpinus,25
Similiparma hermani,Pomacentridae,Similiparma_hermani,16
Sparisoma amplum,Labridae,Sparisoma_amplum,25.5578902459571
Sparisoma atomarium,Labridae,Sparisoma_atomarium,25.5578902459571
Sparisoma aurofrenatum,Labridae,Sparisoma_aurofrenatum,25.5578902459571
Sparisoma axillare,Labridae,Sparisoma_axillare,25.5578902459571
Sparisoma chrysopterum,Labridae,Sparisoma_chrysopterum,25.5578902459571
Sparisoma cretense,Labridae,Sparisoma_cretense,25.5578902459571
Sparisoma frondosum,Labridae,Sparisoma_frondosum,25.5578902459571
Sparisoma radians,Labridae,Sparisoma_radians,25.5578902459571
Sparisoma rubripinne,Labridae,Sparisoma_rubripinne,25.5578902459571
Sparisoma tuiupiranga,Labridae,Sparisoma_tuiupiranga,25.5578902459571
Sparisoma viride,Labridae,Sparisoma_viride,25.5578902459571
Sphoeroides annulatus,Tetraodontidae,Sphoeroides_annulatus,44
Sphoeroides lobatus,Tetraodontidae,Sphoeroides_lobatus,25
Sphoeroides spengleri,Tetraodontidae,Sphoeroides_spengleri,30
Stegastes acapulcoensis,Pomacentridae,Stegastes_acapulcoensis,17
